Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1968-69,22,MIL,NBA,PF,79,2207,12.1,0.472,0.253,NA,NA,NA,8,NA,NA,NA,0.8,1.9,2.7,0.058,NA,NA,NA,NA,NA
1969-70,23,MIL,NBA,PF,82,2368,12.5,0.542,0.262,NA,NA,NA,7.8,NA,NA,NA,2.8,2.7,5.5,0.111,NA,NA,NA,NA,NA
1970-71,24,MIL,NBA,PF,82,2428,14.1,0.537,0.267,NA,NA,11.5,11.2,NA,NA,NA,3.8,2.9,6.8,0.134,NA,NA,NA,NA,NA
1971-72,25,TOT,NBA,SF,82,2256,11.6,0.489,0.25,NA,NA,9.9,12.5,NA,NA,NA,1.1,3.4,4.5,0.096,NA,NA,NA,NA,NA
1971-72,25,MIL,NBA,SF,28,737,11.7,0.526,0.293,NA,NA,10.6,10.3,NA,NA,NA,0.8,1,1.8,0.118,NA,NA,NA,NA,NA
1971-72,25,HOU,NBA,SF,54,1519,11.6,0.474,0.233,NA,NA,9.6,13.6,NA,NA,NA,0.3,2.3,2.7,0.085,NA,NA,NA,NA,NA
1972-73,26,TOT,NBA,SF-PG,76,1610,11.5,0.502,0.264,NA,NA,11.5,9.9,NA,NA,NA,1.3,0.6,1.9,0.056,NA,NA,NA,NA,NA
1972-73,26,HOU,NBA,PG,4,41,4.7,0.313,0,NA,NA,9.1,14.6,NA,NA,NA,-0.1,0,-0.1,-0.112,NA,NA,NA,NA,NA
1972-73,26,POR,NBA,SF,72,1569,11.6,0.507,0.273,NA,NA,11.6,9.8,NA,NA,NA,1.5,0.5,2,0.061,NA,NA,NA,NA,NA
1973-74,27,POR,NBA,SF,67,878,10.6,0.468,0.346,7.4,14.7,11,11.2,2.1,0.4,NA,0,0.4,0.4,0.02,NA,-2.3,-0.5,-2.8,-0.2
1974-75,28,POR,NBA,SF,55,519,10.4,0.521,0.329,6.1,11.6,9,7.2,1.9,0.6,NA,0.1,0.5,0.6,0.058,NA,-3.1,0,-3,-0.1
1975-76,29,POR,NBA,SF,1,3,-18.2,0,0,0,0,0,0,0,0,NA,0,0,0,-0.709,NA,-5.1,-0.1,-5.2,0
Career,NA,,NBA,,524,12269,12.2,0.508,0.268,6.9,13.5,10.8,9.9,2,0.5,NA,10,12.3,22.2,0.087,NA,-2.6,-0.3,-2.9,-0.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,MIL,NBA,,271,7740,12.8,0.52,0.264,NA,NA,11.3,9.2,NA,NA,NA,8.2,8.5,16.7,0.104,NA,NA,NA,NA,NA
4 seasons,NA,POR,NBA,,195,2969,11.1,0.498,0.302,6.9,13.5,10.9,9.7,2,0.5,NA,1.5,1.4,2.9,0.047,NA,-2.6,-0.3,-2.9,-0.3
2 seasons,NA,HOU,NBA,,58,1560,11.4,0.469,0.225,NA,NA,9.6,13.6,NA,NA,NA,0.2,2.4,2.6,0.079,NA,NA,NA,NA,NA
