Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Eldridge Recasner,,2.9,2.6,2.5,0.8,0.1,0,0,0
Lorenzo Romar,90.6,2.7,2.6,2.4,0.5,-0.1,NA,NA,NA
Dick Farley,87.5,3,2.8,2.5,NA,NA,NA,NA,NA
Ken Charles,83.1,3.3,3,2.3,0.6,0.6,NA,NA,NA
Zach LaVine,82.6,3,2.8,2.6,0.3,-0.7,NA,NA,NA
Jerian Grant,82.5,3.3,2.5,1.7,0.8,NA,NA,NA,NA
Norman Powell,81.9,2.8,2.4,1.6,0.6,NA,NA,NA,NA
Eddie Robinson,78.0,4,3,2.2,0.8,0.2,NA,NA,NA
Pablo Prigioni,77.9,3.4,3.2,2.3,1.5,NA,NA,NA,NA
Ennis Whatley,77.5,3.3,2.2,1.9,0.8,0.6,0,0,0
Greg Minor,77.2,3,2.1,1.7,0.8,0.6,NA,NA,NA
