Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Jim King,,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1,NA,NA,NA
John Battle,90.6,4,3.2,2.3,2,1.7,1.5,1.4,1,0.5,0.2,NA,NA,NA
Keyon Dooling,88.8,3.7,3.7,2.9,2.1,1.5,1.4,1.1,0.7,0.6,0.3,0.3,0.2,0
Dudley Bradley,88.6,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA,NA,NA,NA
Mickaël Piétrus,88.5,3.6,3.6,3,2.8,2.1,1.5,1.3,1.2,0.6,0,NA,NA,NA
Tyronn Lue,87.7,3.7,3.7,2.7,2.5,2.1,2,1.2,0.8,0.4,0.3,0.2,NA,NA
Sasha Vujačić,87.1,3.7,3.6,2.1,2,1.8,1.4,1.1,0.2,0.1,-0.1,NA,NA,NA
Rod Thorn,86.6,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,NA,NA,NA,NA,NA
Clint Richardson,85.7,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1,NA,NA,NA,NA,NA
Fatty Taylor,85.7,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4,NA,NA,NA,NA,NA
Marquis Daniels,85.2,4.2,3.2,2.5,2,1.3,1.3,0.9,0.6,0.5,0.1,NA,NA,NA
