Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jim King,,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1
John Battle,90.6,4,3.2,2.3,2,1.7,1.5,1.4,1,0.5,0.2
Dudley Bradley,88.6,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA
Mickaël Piétrus,88.5,3.6,3.6,3,2.8,2.1,1.5,1.3,1.2,0.6,0
Shaun Livingston,88.0,4.4,3.3,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Sasha Vujačić,87.1,3.7,3.6,2.1,2,1.8,1.4,1.1,0.2,0.1,-0.1
Nick Young,86.8,3.2,2.8,2.5,2.3,1.9,1.4,1.2,1.2,0.4,0.1
Rod Thorn,86.6,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,NA,NA
Tyronn Lue,86.4,3.7,3.7,2.7,2.5,2.1,2,1.2,0.4,0.3,0.2
Clint Richardson,85.7,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1,NA,NA
Fatty Taylor,85.7,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4,NA,NA
