,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1963-64,22,LAL,NBA,,7,,6,11,,,,17
1964-65,23,LAL,NBA,,9,,5,8,,,,22
1965-66,24,LAL,NBA,,12,,6,8,,,,26
1966-67,25,SFW,NBA,,12,,7,9,,,,27
1967-68,26,SFW,NBA,,16,28,12,14,10,9,6,37
1968-69,27,SFW,NBA,,9,23,7,7,9,8,6,21
1969-70,28,TOT,NBA,,9,,5,6,,,,23
1969-70,28,SFW,NBA,,9,24,5,6,9,5,4,23
1969-70,28,CIN,NBA,,6,,2,4,,,,13
1970-71,29,CHI,NBA,,10,17,6,8,4,12,5,22
1971-72,30,CHI,NBA,,9,,5,7,,,,19
1972-73,31,CHI,NBA,,10,14,4,5,11,6,5,20
Career,,,,,16,,12,14,,,,37
3 Seasons,,LAL,NBA,,12,,6,11,,,,26
3 Seasons,,CHI,NBA,,10,,6,8,,,,22
4 Seasons,,SFW,NBA,,16,,12,14,,,,37
1 Season,,CIN,NBA,,6,,2,4,,,,13
