,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1963-64,22,LAL,NBA,,3,4,2,2,2,4,2,8
1964-65,23,LAL,NBA,,8,15,4,4,8,5,6,18
1965-66,24,LAL,NBA,,6,12,5,6,5,6,6,15
1966-67,25,SFW,NBA,,11,20,6,8,14,7,6,28
1967-68,26,SFW,NBA,,7,,4,7,,,,17
1968-69,27,SFW,NBA,,9,21,6,7,7,7,4,18
1970-71,29,CHI,NBA,,5,8,4,5,4,7,5,13
1971-72,30,CHI,NBA,,4,8,2,2,3,3,5,10
1972-73,31,CHI,NBA,,2,4,1,2,1,1,2,5
Career,,,,,11,,6,8,,,,28
3 Seasons,,SFW,NBA,,11,,6,8,,,,28
3 Seasons,,LAL,NBA,,8,15,5,6,8,6,6,18
3 Seasons,,CHI,NBA,,5,8,4,5,4,7,5,13
