Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,28,WAS,NBA,PF,1,0,12:56,2,5,0.4,1,1,1,0,0,NA,1,4,1,0,0,0,0,5
2007-08,31,WAS,NBA,PF,1,0,12:12,1,3,0.333,0,2,0,0,0,NA,0,1,0,0,1,2,0,2
Career,NA,,NBA,,2,0,25,3,8,0.375,1,3,0.333,0,0,NA,1,5,1,0,1,2,0,7
