Season,Team,Lg,Salary
1998-99,Golden State Warriors,NBA,"$1,940,000"
1999-00,Golden State Warriors,NBA,"$2,503,800"
2000-01,Golden State Warriors,NBA,"$2,678,400"
2001-02,Golden State Warriors,NBA,"$3,388,176"
2002-03,Golden State Warriors,NBA,"$10,067,750"
2003-04,Dallas Mavericks,NBA,"$11,326,219"
2004-05,Washington Wizards,NBA,"$12,584,688"
2005-06,Washington Wizards,NBA,"$13,843,156"
2006-07,Washington Wizards,NBA,"$15,101,625"
2007-08,Washington Wizards,NBA,"$16,360,094"
2008-09,Washington Wizards,NBA,"$9,923,285"
2009-10,Cleveland Cavaliers,NBA,"$11,641,095"
2010-11,Cleveland Cavaliers,NBA,"$13,358,905"
2011-12,Cleveland Cavaliers,NBA,"$15,076,715"
2012-13,Los Angeles Lakers,NBA,"$1,352,181"
2013-14,Los Angeles Clippers,NBA,"$1,399,507"
Career,(may be incomplete),,"$142,545,596"
