Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Alton Ford,,0.8,0.1,-0.1,NA
Brian Quinnett,93.1,0.8,0.1,-0.1,NA
Linton Townes,75.6,0.7,0,-0.1,NA
Samardo Samuels,74.2,0.7,0,-0.1,NA
Okaro White,70.4,0.6,0.2,0,NA
Terence Morris,67.8,0.9,0.2,-0.1,NA
Joby Wright,66.6,0.6,0,-0.1,NA
Ivano Newbill,62.8,1.1,0.1,-0.1,NA
Scott Roth,61.5,0.7,0.3,0.1,NA
Jamie Watson,60.5,0.8,0.3,0.1,0
Jim Tucker,56.3,1,0.3,0,NA
