Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Blake Griffin,,12.2,10.6,9.8,9.2,9,8,7.7,4.9,3.8
Billy Cunningham,94.3,11.9,10.3,10,9,8.3,6.8,6.4,5,3.5
Horace Grant,93.6,14.1,10.3,10,9.5,9.1,8,8,6.4,4.2
George McGinnis,92.9,11.6,11.4,10.1,8.6,8.5,7.9,7.1,5.3,1.9
Harry Gallatin,92.4,11.8,11.3,8.9,8.3,8.1,7.8,7.6,5.6,2.8
James Worthy,92.2,10.6,9.7,9.5,9.3,9,7.9,7.5,6.5,5.1
Chet Walker,91.6,10.9,10.1,9.8,9.8,8.2,7.8,5.4,5.3,3.7
Larry Nance,91.4,10.5,10.3,10.2,9.8,8.4,8,7.9,6.5,2.4
Bobby Jones,91.0,11,10.2,10.2,9.2,8.9,8.2,8.1,7.7,6.4
Glen Rice,90.9,10.8,10.2,10,9.3,8.3,7.9,6.3,4.4,1.4
Paul Pierce,90.7,12.9,11.5,11.2,10.4,10.1,8.2,7.1,5.4,4.9
