Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Rondae Hollis-Jefferson,,4.1,2.6,1.2,1.2
Dave Budd,92.8,4.1,2.3,1.2,0.9
Chris Wilcox,89.0,4.4,2.6,1.3,0.6
Trey Lyles,88.8,3.9,2.3,1.2,0.8
Anthony Bonner,88.4,4.1,2.4,1.6,0.7
Jeff Foster,87.7,4.2,2.7,1.6,0.6
Darren Daye,86.9,3.8,2.4,1.3,0.6
Jabari Parker,86.8,4,3.6,1.3,1.2
Bob Doll,86.3,4,2.8,1.8,1.6
Scott Williams,86.1,3.9,2.3,1.7,0.9
Jarron Collins,85.6,4.2,3.3,1.1,0.7
