Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Rondae Hollis-Jefferson,,4.1,2.6,1.2,1.2,NA,NA,NA
Ime Udoka,90.0,3.9,2.8,1.3,0.8,0,0,0
Trey Lyles,88.8,3.9,2.3,1.2,0.8,NA,NA,NA
Greg Kelser,88.6,3.9,2.5,1.4,0.8,0.1,0,NA
Darren Daye,87.1,3.8,2.4,1.3,1.2,0.6,NA,NA
Bob Doll,86.3,4,2.8,1.8,1.6,NA,NA,NA
Tony Jaros,85.4,4.4,2.2,1.3,0.6,NA,NA,NA
Boštjan Nachbar,84.7,4.1,2.2,1.7,0.8,0.1,-0.1,NA
Collis Jones,84.5,4.2,3.2,2.1,1.2,NA,NA,NA
Nemanja Bjelica,84.3,4.5,2.8,1.9,1.5,NA,NA,NA
George Trapp,82.8,3.5,2.4,1.5,1,0.1,-0.2,NA
