Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Shane Larkin,,1.7,1.4,1.4,-0.1
Will Bynum,91.2,1.9,1.5,1.3,-0.1
Fred Carter,86.8,1.8,1.3,1.3,-0.3
Juan Dixon,85.9,2,1.4,1.2,0.1
Gary Brokaw,82.8,1.9,1.6,1.6,0.1
Steven Kramer,81.5,1.9,1.2,1.1,NA
Donnie Butcher,80.1,1.9,1.2,1.1,-0.3
Sergio Rodríguez,79.7,1.7,1.2,0.9,-0.2
Kirk Snyder,78.4,2.2,1.4,1.1,-0.2
Dirk Minniefield,78.2,1.9,1.1,1.1,NA
Kenny Higgs,77.0,2.2,1.5,1,NA
