Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Marty Conlon,,3.1,1.8,1.4,1,0.8,0.6,0.3,0,-0.1,NA
Jeremy Evans,86.5,2.8,1.6,1.3,0.9,0.9,0.6,0,NA,NA,NA
Mark Madsen,83.2,2.7,1.9,1.1,1.1,0.8,0.6,0.4,-0.1,-0.3,NA
Mark Alarie,82.9,3.1,2.2,1.5,0.9,0.6,NA,NA,NA,NA,NA
Noah Vonleh,82.4,3.2,1.8,1.6,1.2,0.5,NA,NA,NA,NA,NA
Jarvis Hayes,82.1,2.9,2.1,1.7,1.5,0.8,0.7,0.5,NA,NA,NA
Jason Kapono,80.7,4.2,1.9,1.3,1.2,0.8,0.5,0.5,0.1,-0.2,NA
Jeff Turner,79.6,3.1,1.4,1.2,1.2,1.1,0.8,0.6,-0.1,-0.2,-0.2
Lorenzo Williams,79.0,3.1,1.7,1.1,0.4,0.4,0.3,0.3,NA,NA,NA
Quincy Acy,78.8,2.5,1.7,1.5,1.1,1,0.9,-0.1,NA,NA,NA
James Singleton,78.0,3,2.3,1.1,1,0.7,NA,NA,NA,NA,NA
