Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Derrick Rose,,13.1,6,6,4.9,3,3,1.2,0.4,-0.2,-0.2
Chuck Williams,81.3,10,6.1,4.7,3.8,3.2,3,1.3,0.6,NA,NA
Dana Barros,80.7,12.7,5.6,5.6,4.7,3.6,3.5,3.4,2.5,1.8,1
Warren Jabali,80.2,10.7,7.3,5.8,3.5,3.2,2.6,2.1,NA,NA,NA
Mike Riordan,79.9,11.1,7,6.1,3.8,2.1,1.7,1.7,-0.1,-0.1,NA
Micheal Ray Richardson,77.8,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA
Frankie Brian,76.9,9.2,6.1,5.6,3.6,3,2.7,-0.2,NA,NA,NA
Fred Scolari,76.4,8.5,5.6,5.4,4.5,3.1,2.7,1.2,-0.7,NA,NA
Don Chaney,76.3,8.7,6.3,5.9,5.8,5.1,2.9,0.8,0.3,-0.1,-0.5
Flynn Robinson,74.4,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,NA,NA
Kyle Macy,73.8,9.2,6.4,5,4.6,4.5,3.9,2.4,NA,NA,NA
