Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,22,HOU,NBA,C,1,0,15:00,2,2,1,0,0,NA,2,6,0.333,2,5,1,0,2,0,1,6
1985-86,23,HOU,NBA,C,1,0,15:00,1,8,0.125,0,0,NA,1,2,0.5,1,5,0,1,2,1,3,3
1986-87,24,HOU,NBA,C,1,1,26:00,2,6,0.333,0,0,NA,6,8,0.75,4,13,2,0,3,1,6,10
1987-88,25,HOU,NBA,C,1,1,28:00,8,13,0.615,0,0,NA,5,7,0.714,7,9,2,2,2,4,3,21
1988-89,26,HOU,NBA,C,1,1,25:00,5,12,0.417,0,0,NA,2,3,0.667,4,7,3,3,2,3,2,12
1989-90,27,HOU,NBA,C,1,1,31:00,2,14,0.143,0,0,NA,4,10,0.4,9,16,2,1,1,4,1,8
1991-92,29,HOU,NBA,C,1,0,20:00,3,6,0.5,0,0,NA,1,2,0.5,0,4,2,2,1,3,3,7
1992-93,30,HOU,NBA,C,1,0,21:00,1,5,0.2,0,0,NA,1,2,0.5,2,7,1,2,2,3,3,3
1993-94,31,HOU,NBA,C,1,1,30:00,8,15,0.533,0,0,NA,3,6,0.5,4,11,2,2,5,3,4,19
1994-95,32,HOU,NBA,C,1,1,25:00,6,13,0.462,1,1,1,0,2,0,4,11,1,2,2,3,2,13
1995-96,33,HOU,NBA,C,1,1,14:00,2,8,0.25,0,0,NA,0,0,NA,1,3,0,0,0,0,2,4
1996-97,34,HOU,NBA,C,1,1,20:00,5,8,0.625,0,0,NA,1,2,0.5,0,3,1,0,1,1,1,11
Career,NA,,NBA,,12,8,270,45,110,0.409,1,1,1,26,50,0.52,38,94,17,15,23,26,31,117
