Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Ryan Bowen,,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1,NA
Damien Wilkins,86.4,2.8,1.9,1.9,1.7,1.5,1,1,0.4,0,-0.1,NA
Bill Willoughby,86.2,3,2.6,1.8,1.5,1.2,1.2,1.1,0.9,NA,NA,NA
Joe Bryant,85.1,3.4,2.2,1.8,1.5,1.5,1.3,1.2,0,NA,NA,NA
Jared Jeffries,85.1,3.1,2.6,2.2,1.7,1.2,1.2,0.6,0.6,0.3,0.1,-0.3
Steve Kuberski,84.2,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0,NA,NA
Darrell Arthur,83.3,3.8,2.3,1.7,1.7,1.1,0.9,0.7,0.3,0,NA,NA
Jarvis Hayes,82.6,2.9,2.1,1.7,1.5,0.8,0.7,0.5,NA,NA,NA,NA
Wesley Johnson,82.4,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0,0,NA,NA
Pete Chilcutt,81.4,2.1,2,1.5,1.4,1.1,1,0.7,0.6,0.3,NA,NA
Wally Walker,79.1,3.5,2.1,2,1.9,1.8,0.9,0.5,0.1,NA,NA,NA
