,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,27,TRI,NBA,,11,,7,9,,,,27
1950-51,28,TRI,NBA,,19,,10,,,,,48
1951-52,29,TOT,NBA,,13,,11,14,,,6,31
1951-52,29,MLH,NBA,,13,,11,14,,,6,31
1951-52,29,FTW,NBA,,8,,3,6,,,6,19
1952-53,30,FTW,NBA,,12,,9,12,,,,28
Career,,,,,19,,11,,,,,48
3 Seasons,,"MLH,TRI",NBA,,19,,11,,,,,48
2 Seasons,,FTW,NBA,,12,,9,12,,,,28
