Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dike Eddleman,,3.8,3.7,-0.1,-0.1
Ollie Darden,92.1,3.7,3.6,0.3,NA
Andy Duncan,89.0,3.7,3.4,-0.3,NA
Brandon Bass,86.8,4.3,4.1,0.1,0
Len Chappell,84.2,3.6,3.2,0.1,0.1
Ime Udoka,83.3,3.9,2.8,0,0
Michael Ansley,80.2,3.3,3.1,0,NA
Bill Closs,76.5,4.4,2.8,0,NA
Lee Shaffer,75.1,5,3.8,-0.6,NA
Sonny Dove,72.5,4.3,3,0.4,-0.5
Kurt Thomas,72.1,3.8,2.5,0.5,-0.2
