Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Ron Brewer,,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,NA,NA
Randy Wittman,92.9,5.9,4.2,3.5,1.6,1.2,0.7,0,0,0,NA
Scott Burrell,91.6,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,NA,NA
Will Barton,88.6,6.2,4.3,3.3,1.3,1.2,0.6,-0.5,NA,NA,NA
Malik Sealy,85.4,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2,NA,NA
T.J. Ford,84.8,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,NA,NA
Kenny Sailors,84.6,5.2,4.9,3.7,1.7,1.6,NA,NA,NA,NA,NA
Aaron Brooks,83.5,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8,0.3,0.1
Mitchell Wiggins,83.1,5.4,3.5,3.3,2,1.2,-0.1,NA,NA,NA,NA
Frank Selvy,82.4,5.5,4.1,3.6,2.4,2.3,0.6,0,-0.6,NA,NA
Dean Meminger,82.1,5,4.4,3.9,2.2,1,0.2,NA,NA,NA,NA
