Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Ron Brewer,,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1
Randy Wittman,93.0,5.9,4.2,3.5,1.6,1.2,0.7,0,0
Scott Burrell,91.6,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1
Will Barton,88.6,6.2,4.3,3.3,1.3,1.2,0.6,-0.5,NA
Martell Webster,87.5,6.3,4.4,3.5,1.8,1.5,1.3,0.9,0
Bob Sura,87.1,5.2,4.9,4.1,1.8,1.6,0.7,0.4,0.1
Malik Sealy,85.4,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2
Aaron Brooks,84.9,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8
T.J. Ford,84.8,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2
Kenny Sailors,84.6,5.2,4.9,3.7,1.7,1.6,NA,NA,NA
Patty Mills,84.4,5.6,5.1,4.8,1.5,1.4,0.9,0.7,0
