Season,Team,Lg,Salary
2007-08,Philadelphia 76ers,NBA,"$1,830,720"
2008-09,Philadelphia 76ers,NBA,"$1,968,120"
2009-10,Philadelphia 76ers,NBA,"$2,105,400"
2010-11,Philadelphia 76ers,NBA,"$2,901,241"
2011-12,Philadelphia 76ers,NBA,"$7,478,261"
2012-13,Philadelphia 76ers,NBA,"$8,289,130"
2013-14,Philadelphia 76ers,NBA,"$8,600,000"
2014-15,Brooklyn Nets,NBA,"$9,410,870"
2015-16,Brooklyn Nets,NBA,"$11,200,000"
2016-17,Indiana Pacers,NBA,"$14,153,652"
2017-18,Indiana Pacers,NBA,"$14,796,348"
2018-19,Indiana Pacers,NBA,"$13,764,045"
Career,(may be incomplete),,"$96,497,787"
