Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Thaddeus Young,,7.4,6.9,6.3,6.2,5.5,5.5,4.6,4.5,4.1,3.5,3.1,2.1
Eddie Johnson,94.8,7.4,6.5,5.6,5.6,5.5,5.3,4.8,4.3,4,3.9,3,1.8
Antonio Davis,94.6,7.4,7.2,6.5,6.1,6,5.2,5,4,3.9,3.8,2.2,2
Armen Gilliam,93.1,7.6,6.8,6.7,6.6,5.3,5.1,4.6,4.5,4.1,2.8,1.5,1.3
Robert Horry,91.1,6.9,6.6,5.9,5.7,4.9,4.8,4.6,4.2,3.6,2.9,2.6,1.7
Dave DeBusschere,90.8,7,6.6,6.6,6.6,6.2,5.9,5.2,4.8,4.7,3.7,3.6,0
Maurice Lucas,90.3,8.7,7.4,7.1,6.4,6.2,5.8,5.5,4.7,4,3.5,2.5,2.4
Derrick McKey,90.3,7.4,7.4,6.6,6.4,6.3,5.7,5,4.1,3.9,2.1,1.8,0.4
Clarence Weatherspoon,89.5,8.6,6,5.8,5.5,5.1,5,4.5,4,3.6,3.5,3.3,2.6
Tom Sanders,89.4,7.6,7.5,7.2,6.8,5.5,5.4,4.3,4,3,3,2.4,0
Nicolas Batum,89.0,7.9,6.6,5.8,5.2,5,4.8,4.6,3.7,3.7,3.5,3.5,NA
