,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2007-08,19,PHI,NBA,PF,6,160,,,17%,83%,,-19.3,-24.1,0,3,3,1,8,0,8,0,5
2008-09,20,PHI,NBA,PF,6,229,,,4%,96%,,-10.0,-1.5,3,4,4,0,5,0,18,4,5
2010-11,22,PHI,NBA,PF,5,127,,,,98%,2%,-23.7,-32.8,2,2,7,0,6,2,9,2,6
2011-12,23,PHI,NBA,PF,13,277,,,,98%,2%,-2.8,-3.4,4,5,10,1,12,3,31,1,7
2014-15,26,BRK,NBA,PF,6,190,,,,94%,6%,-4.6,+3.2,4,7,2,2,7,0,39,2,5
2016-17,28,IND,NBA,PF,4,140,,,,100%,,-2.9,+3.1,4,1,5,0,5,1,24,0,4
2017-18,29,IND,NBA,PF,7,237,,,,100%,,+3.6,-9.6,3,0,5,3,7,0,23,1,0
2018-19,30,IND,NBA,PF,4,130,,,,100%,,+0.4,+20.1,3,2,4,0,3,1,32,1,1
Career,,,NBA,,51,1490,,,2%,96%,1%,-6.4,-5.3,23,24,40,7,53,7,184,11,33
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHI,NBA,,30,793,,,5%,95%,1%,-11.6,-11.8,9,14,24,2,31,5,66,7,23
3 seasons,,IND,NBA,,15,507,,,,100%,,+1.0,+1.5,10,3,14,3,15,2,79,2,5
1 season,,BRK,NBA,,6,190,,,,94%,6%,-4.6,+3.2,4,7,2,2,7,0,39,2,5
