Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Mike Price,,0.2,0.2,0.1,NA,NA
Jimmy Oliver,78.8,0.2,0.2,0,0,-0.1
Awvee Storey,65.4,0.2,0.1,0,NA,NA
Anthony Roberson,64.6,0.2,0.2,0.1,NA,NA
Drew Barry,55.0,0.3,0.2,0.1,NA,NA
Randy Woods,52.7,0.3,0.2,0.1,0.1,NA
Lance Blanks,48.6,0.4,0.2,0.1,NA,NA
Demetrius Jackson,47.9,0.2,0.1,-0.1,NA,NA
R.J. Hunter,47.7,0.3,0.1,0,0,NA
Jared Cunningham,42.6,0.1,0.1,0,0,NA
Briante Weber,42.6,0.4,0.3,0,NA,NA
