Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,22,NYK,NBA,SG,56,NA,251,30,81,0.37,NA,NA,NA,30,81,0.37,0.37,24,34,0.706,NA,NA,29,12,NA,NA,57,84
1971-72,23,TOT,TOT,SG,10,NA,65,8,23,0.348,0,0,NA,8,23,0.348,0.348,9,11,0.818,1,NA,11,7,NA,4,14,25
1971-72,23,NYK,NBA,SG,6,NA,40,5,14,0.357,NA,NA,NA,5,14,0.357,0.357,9,11,0.818,NA,NA,6,6,NA,NA,10,19
1971-72,23,INA,ABA,SG,4,NA,25,3,9,0.333,0,0,NA,3,9,0.333,0.333,0,0,NA,1,4,5,1,NA,4,4,6
1972-73,24,PHI,NBA,SG,57,NA,751,125,301,0.415,NA,NA,NA,125,301,0.415,0.415,38,47,0.809,NA,NA,117,71,NA,NA,106,288
Career,NA,,TOT,,123,NA,1067,163,405,0.402,0,0,NA,163,405,0.402,0.402,71,92,0.772,1,4,157,90,NA,4,177,397
,NA,,NBA,,119,NA,1042,160,396,0.404,NA,NA,NA,160,396,0.404,0.404,71,92,0.772,NA,NA,152,89,NA,NA,173,391
,NA,,ABA,,4,NA,25,3,9,0.333,0,0,NA,3,9,0.333,0.333,0,0,NA,1,4,5,1,NA,4,4,6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYK,NBA,,62,NA,291,35,95,0.368,NA,NA,NA,35,95,0.368,0.368,33,45,0.733,NA,NA,35,18,NA,NA,67,103
1 season,NA,PHI,NBA,,57,NA,751,125,301,0.415,NA,NA,NA,125,301,0.415,0.415,38,47,0.809,NA,NA,117,71,NA,NA,106,288
1 season,NA,INA,ABA,,4,NA,25,3,9,0.333,0,0,NA,3,9,0.333,0.333,0,0,NA,1,4,5,1,NA,4,4,6
