,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,22,NYK,NBA,,3,6,,,,,4,5,,,2,2,,,3,9
1971-72,23,NYK,NBA,,2,,,,,,4,5,,,,,,,,8
1971-72,23,INA,ABA,,2,,0,,,,0,0,,,,,,,,4
1972-73,24,PHI,NBA,,8,,,,,,6,6,,,,,,,,18
Career,,,TOT,,8,,,,,,6,6,,,,,,,,18
,,,NBA,,8,,,,,,6,6,,,,,,,,18
,,,ABA,,2,,0,,,,0,0,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,
2 Seasons,,NYK,NBA,,3,,,,,,4,5,,,,,,,,9
1 Season,,PHI,NBA,,8,,,,,,6,6,,,,,,,,18
1 Season,,INA,ABA,,2,,0,,,,0,0,,,,,,,,4
