Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1970-71,22,NYK,NBA,SG,56,251,5.6,0.438,NA,0.42,NA,NA,5.3,6,NA,NA,NA,NA,-0.1,0.3,0.2,0.034
1971-72,23,TOT,TOT,SG,10,65,6.9,0.449,0,0.478,3.8,14.1,8,14.1,NA,30.8,20.1,NA,0,0.1,0.1,0.038
1971-72,23,NYK,NBA,SG,6,40,13.6,0.504,NA,0.786,NA,NA,7.4,19.6,NA,NA,NA,NA,0,0.1,0.1,0.121
1971-72,23,INA,ABA,SG,4,25,-3.9,0.333,0,0,3.8,14.1,9.1,5.2,NA,30.8,20.1,NA,-0.1,0,0,-0.096
1972-73,24,PHI,NBA,SG,57,751,10.4,0.448,NA,0.156,NA,NA,6.9,13.3,NA,NA,NA,NA,-0.2,0.4,0.2,0.011
Career,NA,,TOT,,123,1067,9.1,0.446,0,0.227,3.8,14.1,6.6,11.6,NA,30.8,20.1,NA,-0.3,0.7,0.4,0.018
,NA,,NBA,,119,1042,9.4,0.448,NA,0.232,NA,NA,6.6,11.7,NA,NA,NA,NA,-0.3,0.7,0.5,0.021
,NA,,ABA,,4,25,-3.9,0.333,0,0,3.8,14.1,9.1,5.2,NA,30.8,20.1,NA,-0.1,0,0,-0.096
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYK,NBA,,62,291,6.7,0.449,NA,0.474,NA,NA,5.6,7.9,NA,NA,NA,NA,-0.1,0.4,0.3,0.046
1 season,NA,PHI,NBA,,57,751,10.4,0.448,NA,0.156,NA,NA,6.9,13.3,NA,NA,NA,NA,-0.2,0.4,0.2,0.011
1 season,NA,INA,ABA,,4,25,-3.9,0.333,0,0,3.8,14.1,9.1,5.2,NA,30.8,20.1,NA,-0.1,0,0,-0.096
