Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,22,NYK,NBA,SG,56,NA,251,4.3,11.6,0.37,NA,NA,NA,4.3,11.6,0.37,3.4,4.9,0.706,NA,NA,4.2,1.7,NA,NA,8.2,12
1971-72,23,TOT,TOT,SG,10,NA,65,4.4,12.7,0.348,0,0,NA,4.4,12.7,0.348,5,6.1,0.818,0.6,NA,6.1,3.9,NA,2.2,7.8,13.8
1971-72,23,NYK,NBA,SG,6,NA,40,4.5,12.6,0.357,NA,NA,NA,4.5,12.6,0.357,8.1,9.9,0.818,NA,NA,5.4,5.4,NA,NA,9,17.1
1971-72,23,INA,ABA,SG,4,NA,25,4.3,13,0.333,0,0,NA,4.3,13,0.333,0,0,NA,1.4,5.8,7.2,1.4,NA,5.8,5.8,8.6
1972-73,24,PHI,NBA,SG,57,NA,751,6,14.4,0.415,NA,NA,NA,6,14.4,0.415,1.8,2.3,0.809,NA,NA,5.6,3.4,NA,NA,5.1,13.8
Career,NA,,TOT,,123,NA,1067,5.5,13.7,0.402,0,0,NA,5.5,13.7,0.402,2.4,3.1,0.772,1.4,5.8,5.3,3,NA,5.8,6,13.4
,NA,,NBA,,119,NA,1042,5.5,13.7,0.404,NA,NA,NA,5.5,13.7,0.404,2.5,3.2,0.772,NA,NA,5.3,3.1,NA,NA,6,13.5
,NA,,ABA,,4,NA,25,4.3,13,0.333,0,0,NA,4.3,13,0.333,0,0,NA,1.4,5.8,7.2,1.4,NA,5.8,5.8,8.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYK,NBA,,62,NA,291,4.3,11.8,0.368,NA,NA,NA,4.3,11.8,0.368,4.1,5.6,0.733,NA,NA,4.3,2.2,NA,NA,8.3,12.7
1 season,NA,PHI,NBA,,57,NA,751,6,14.4,0.415,NA,NA,NA,6,14.4,0.415,1.8,2.3,0.809,NA,NA,5.6,3.4,NA,NA,5.1,13.8
1 season,NA,INA,ABA,,4,NA,25,4.3,13,0.333,0,0,NA,4.3,13,0.333,0,0,NA,1.4,5.8,7.2,1.4,NA,5.8,5.8,8.6
