Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Eric Bledsoe,,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2,NA
Steve Jones,91.8,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,NA
Gene Shue,90.1,8.5,7.6,5.6,5.6,4.6,4.6,2.4,0.7,0.4,-1.1
Micheal Ray Richardson,90.0,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA
Kyle Macy,88.7,9.2,6.4,5,4.6,4.5,3.9,2.4,NA,NA,NA
Eddie Johnson,88.6,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5,0.8
Bradley Beal,86.1,8.5,7.6,6.9,4,3.7,3,2.7,NA,NA,NA
Dave Twardzik,86.0,7.5,5.5,5.1,5.1,3.7,3,2.4,1.1,NA,NA
Phil Smith,85.2,9.4,7,6.3,5.2,4.8,2.9,2.2,1.7,1.6,NA
Danny Green,84.7,7.8,5.9,5.9,4.5,4.2,4.2,3.4,2.9,0.2,0.1
Ricky Rubio,84.4,6.1,5.9,5.8,5.3,3.7,3,2,0.5,NA,NA
