Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Eric Bledsoe,,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2
Gene Shue,92.0,8.5,7.6,5.6,5.6,4.6,4.6,2.4,0.7,0.4
Steve Jones,91.8,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8
Eric Snow,91.3,8.4,6.1,5.5,5.5,3.8,3.8,1.9,1.3,0.5
Micheal Ray Richardson,90.0,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA
Eddie Johnson,89.8,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5
John Lucas,88.8,7.9,5.9,5.2,4.8,4.3,3.9,3.2,1.3,0.4
Kyle Macy,88.7,9.2,6.4,5,4.6,4.5,3.9,2.4,NA,NA
Tyrone Corbin,87.3,6.8,6.7,5.6,5.4,5.4,4.4,3,1.2,0.1
Danny Green,87.0,7.8,5.9,4.5,4.2,4.2,3.4,2.9,0.2,0.1
Muggsy Bogues,86.9,8.6,6.7,6.4,5.9,4.8,4.8,2.6,2.3,0
