,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2011-12,22,LAC,NBA,PG,11,189,.587,8.5,.889,.460,.206,.063,.159,.111,.607,.655,.462,.500,.700,.429,.176,.063,3,1.000,.571,.500,0,0
2012-13,23,LAC,NBA,PG,6,97,.500,11.1,.700,.367,.233,.033,.067,.300,.667,.727,.571,.000,1.000,.111,.429,.033,1,.000,.111,.000,0,0
2017-18,28,MIL,NBA,PG,7,225,.440,12.2,.738,.286,.167,.143,.143,.262,.484,.667,.429,.417,.250,.318,.233,.000,0,.714,.318,.286,0,0
2018-19,29,MIL,NBA,PG,15,423,.411,14.0,.611,.303,.135,.114,.059,.389,.522,.750,.240,.286,.455,.236,.492,.011,2,.588,.194,.214,1,0
Career,,,NBA,,39,934,.456,12.4,.696,.331,.163,.105,.097,.304,.544,.708,.373,.342,.486,.255,.350,.019,6,.643,.236,.269,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MIL,NBA,,22,648,.420,13.5,.651,.297,.145,.123,.086,.349,.509,.725,.308,.333,.348,.255,.404,.007,2,.625,.223,.238,1,0
2 seasons,,LAC,NBA,,17,286,.559,9.3,.828,.430,.215,.054,.129,.172,.623,.675,.500,.400,.750,.250,.250,.054,4,.750,.313,.400,0,0
