Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Lucas Nogueira,,3.7,1.6,0.7,0,NA,NA
Jack Toomay,91.8,3.6,1.6,1.1,NA,NA,NA
Gustavo Ayón,82.2,3.2,1.2,0.7,NA,NA,NA
Howie Schultz,78.7,3,2,0.6,NA,NA,NA
Craig Raymond,78.6,4.7,1.7,1,0,0,NA
Ivica Zubac,76.6,3.2,1.1,1,NA,NA,NA
Rich Niemann,76.0,4.4,1.4,1.2,0.2,NA,NA
Greg Oden,74.9,4.6,2.2,0.5,NA,NA,NA
Vladimir Stepania,73.5,2.9,1.7,0.8,0.2,-0.1,-0.3
Will Frazier,70.1,3.8,0.9,-0.1,NA,NA,NA
Jamie Feick,70.0,4.8,2.2,0.9,0.2,0.2,NA
