Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Lucas Nogueira,,3.7,1.6,0.7,0
Jack Toomay,91.8,3.6,1.6,1.1,NA
Erick Dampier,90.8,4,1.5,0.9,-0.1
Ian Mahinmi,89.1,3.4,1.8,0.7,0.2
Cherokee Parks,82.9,3.8,2.2,0.9,0.2
Gustavo Ayón,82.2,3.2,1.2,0.7,NA
Mike Brown,81.8,3.7,1.4,1,0.7
Stanley Roberts,80.9,3.2,2.1,0.7,-0.1
Craig Raymond,79.3,4.7,1.7,1,0
Howie Schultz,78.7,3,2,0.6,NA
Ivica Zubac,76.6,3.2,1.1,1,NA
