Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1986-87,23,PHI,NBA,PF,1,0,16:00,2,6,0.333,0,2,0,3,6,0.5,1,4,1,1,0,0,2,7
1987-88,24,PHI,NBA,PF,1,0,15:00,1,4,0.25,0,1,0,2,2,1,1,3,0,1,1,3,2,4
1988-89,25,PHI,NBA,PF,1,1,20:00,6,11,0.545,0,0,NA,5,8,0.625,3,5,0,2,1,1,0,17
1989-90,26,PHI,NBA,SF,1,1,22:00,7,12,0.583,1,1,1,2,3,0.667,2,4,0,1,1,2,1,17
1990-91,27,PHI,NBA,SF,1,1,35:00,7,15,0.467,0,0,NA,3,6,0.5,8,22,4,1,1,3,5,17
1991-92,28,PHI,NBA,SF,1,1,28:00,6,14,0.429,0,2,0,0,0,NA,2,9,1,0,0,3,3,12
1992-93,29,PHO,NBA,PF,1,1,34:00,5,11,0.455,1,2,0.5,5,7,0.714,0,4,7,4,0,4,3,16
1993-94,30,PHO,NBA,PF,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-95,31,PHO,NBA,PF,1,1,23:00,7,12,0.583,1,4,0.25,0,0,NA,5,9,2,2,0,2,1,15
1995-96,32,PHO,NBA,PF,1,1,16:00,4,6,0.667,0,0,NA,0,0,NA,0,0,1,0,0,2,1,8
1996-97,33,HOU,NBA,PF,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Career,NA,,NBA,,9,7,209,45,91,0.495,3,12,0.25,20,32,0.625,22,60,16,12,4,20,18,113
