Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
DeMar DeRozan,,9.9,9.6,9,8.8,6.3,4.7,4,3.2,2.5,2.3,NA,NA
Fat Lever,92.9,10.4,9.7,9.2,8.8,5.2,4.8,4.5,4.4,2.9,1.3,0,NA
Donnie Freeman,91.9,9.9,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4,NA,NA,NA
Kyrie Irving,88.2,10.4,9.1,8.9,8.9,6.7,5.3,5,4.1,NA,NA,NA,NA
Jeff Mullins,88.0,10,9.9,8.3,8.2,6.8,5.7,5.6,4.5,2.3,0.9,0.8,-0.3
Kevin Martin,87.8,10.2,9.5,8.4,7,5.5,5.3,4.7,4.2,3.3,1.9,1.2,0.1
Jim Paxson,87.3,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.4,1.3,1.2,0.3,NA
Larry Costello,86.8,9.2,8.6,8.5,8,5.9,5.7,5.7,3.5,3.4,2.5,1.5,0.2
Terrell Brandon,86.7,12.7,10.8,8.6,8.5,5.6,5.1,3.9,3.7,3.2,2.9,0.9,NA
Paul Westphal,86.6,10.5,10.4,9.8,9.6,9.6,5.1,3.7,3.2,2.4,1.5,1.4,0.3
Andy Phillip,86.3,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,1.5,NA,NA
