Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
DeMar DeRozan,,9.9,9.6,9,8.8,6.3,4.7,4,3.2,2.5,2.3
Donnie Freeman,91.9,9.9,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4,NA
Joe Dumars,91.2,9.9,9.1,8.7,8.2,7,5.9,4.4,4.2,3.2,1.7
Sam Cassell,91.1,9.6,9.2,8.6,8.5,8.3,4.7,3.9,3.9,2.2,0.8
Fat Lever,90.4,10.4,9.7,9.2,8.8,5.2,4.8,4.5,4.4,1.3,0
Derek Harper,90.1,9.9,9.4,9.1,8,7.6,6.2,5.4,3.5,2.7,1.3
Dale Ellis,88.8,10.8,9.3,9,6.4,6.4,4.8,3.2,2.4,1.6,1.5
Dick Van Arsdale,88.5,10.4,10.2,9,8.7,7,5.9,5.6,5.2,3.8,2.6
Kyrie Irving,88.2,10.4,9.1,8.9,8.9,6.7,5.3,5,4.1,NA,NA
Terrell Brandon,87.4,12.7,10.8,8.6,8.5,5.6,5.1,3.9,3.2,2.9,0.9
Baron Davis,87.4,8.9,8.7,8.2,7.5,6.4,4.5,4.4,4.4,2.1,0.6
