,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2009-10,20,TOR,NBA,SG,77,1664,,72%,27%,1%,,-6.2,-7.2,19,21,90,7,95,14,119,22,42
2010-11,21,TOR,NBA,SG,82,2851,1%,76%,23%,,,-7.8,-3.3,45,47,117,29,192,9,329,47,90
2011-12,22,TOR,NBA,SG,63,2206,,68%,32%,,,-2.5,+3.9,32,56,68,18,149,5,299,30,72
2012-13,23,TOR,NBA,SG,82,3013,,80%,20%,,,-2.0,-1.9,44,73,82,11,185,6,502,37,80
2013-14,24,TOR,NBA,SG,79,3017,,21%,77%,2%,,+3.6,-0.4,52,84,85,19,260,8,786,50,57
2014-15,25,TOR,NBA,SG,60,2100,,62%,38%,,,+2.9,-0.8,51,63,49,13,184,7,523,31,69
2015-16,26,TOR,NBA,SG,78,2804,,68%,32%,,,+3.1,-6.2,56,86,53,17,258,8,784,51,97
2016-17,27,TOR,NBA,SG,74,2620,,71%,28%,1%,,+2.8,-5.2,84,72,53,14,277,6,712,46,93
2017-18,28,TOR,NBA,SG,80,2711,,59%,40%,1%,,+7.5,-1.5,82,60,50,13,228,4,1034,52,77
2018-19,29,SAS,NBA,SG,77,2688,,20%,75%,4%,,+0.5,-5.0,94,75,79,14,213,16,1146,62,98
2019-20,30,SAS,NBA,SF,61,2091,,,77%,23%,,-3.2,-4.5,51,57,78,19,198,10,870,50,62
Career,,,NBA,,813,27765,,54%,43%,3%,,+0.1,-2.9,610,694,804,174,2239,93,7104,478,837
,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,TOR,NBA,,675,22986,,63%,36%,1%,,+0.4,-2.5,465,562,647,141,1828,67,5088,366,677
2 seasons,,SAS,NBA,,138,4779,,11%,76%,13%,,-1.1,-4.8,145,132,157,33,411,26,2016,112,160
