Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Clay Johnson,,0.6,0.1,0,NA,NA
Paul McCracken,82.8,0.5,0,0,NA,NA
Othyus Jeffers,76.9,0.7,0.1,0.1,NA,NA
Tom Ingelsby,76.5,0.7,0.1,0,NA,NA
Carl Thomas,70.1,0.7,0,0,NA,NA
Gus Bailey,62.2,0.5,0.2,0.2,0,0
Phil Pressey,58.4,0.8,0.1,-0.1,NA,NA
Anthony Jones,57.0,0.5,0.3,0,NA,NA
Malcolm Lee,55.4,0.4,0.1,0,NA,NA
James White,55.2,0.5,0.3,0,NA,NA
Derrick Dial,50.5,0.4,0.1,0.1,0.1,NA
