,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2007-08,20,NYK,NBA,SF,35,685,,11%,53%,30%,6%,-6.3,+1.3,7,4,50,7,28,1,75,6,8
2008-09,21,NYK,NBA,SF,82,2735,,18%,55%,26%,,-4.0,-4.0,56,30,164,19,104,13,416,30,43
2009-10,22,NYK,NBA,SG,65,2320,,55%,41%,3%,,-2.6,+3.0,28,29,106,28,79,9,334,21,42
2010-11,23,TOT,NBA,SF,72,2401,,11%,74%,14%,,+4.0,+1.3,33,33,128,16,73,4,289,20,36
2010-11,23,NYK,NBA,SF,51,1759,,7%,75%,17%,,+2.7,+2.9,22,22,100,11,52,3,214,13,26
2010-11,23,DEN,NBA,SF,21,642,,23%,71%,6%,,+7.5,+2.9,11,11,28,5,21,1,75,7,10
2011-12,24,DEN,NBA,SF,8,215,,,87%,13%,,-4.7,-8.6,8,3,9,4,6,1,41,2,4
2012-13,25,DEN,NBA,PF,43,1079,,,12%,86%,2%,+8.9,+5.0,9,19,58,16,45,1,143,13,30
2013-14,26,DEN,NBA,SF,62,1927,,6%,83%,11%,,-4.8,-5.1,31,16,97,17,63,2,266,13,32
2014-15,27,DEN,NBA,SF,78,2471,,5%,85%,10%,,-4.7,-2.3,43,26,100,18,67,8,322,19,48
2016-17,29,DEN,NBA,SF,71,2197,,1%,79%,20%,,-1.1,-2.6,40,32,95,17,83,2,359,34,36
2017-18,30,DEN,NBA,SF,74,2346,,,68%,31%,,+1.6,+0.9,38,30,67,11,54,4,403,14,24
2018-19,31,TOT,NBA,PF-SF,51,1177,,,17%,81%,3%,+4.3,+2.8,27,6,53,7,10,5,192,3,7
2018-19,31,PHI,NBA,PF,36,951,,,9%,88%,3%,+7.9,+6.5,23,6,42,5,7,5,168,2,6
2018-19,31,LAC,NBA,SF,15,226,,,51%,48%,1%,-10.1,-11.8,4,0,11,2,3,0,24,1,1
2019-20,32,BRK,NBA,SF,35,734,,1%,21%,75%,3%,-7.0,-8.2,11,7,46,5,9,1,99,2,4
Career,,,NBA,,676,20287,,12%,61%,27%,1%,-1.1,-0.9,331,235,973,165,621,51,2939,177,314
,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,DEN,NBA,,357,10877,,4%,72%,24%,,-0.5,-1.2,180,137,454,88,339,19,1609,102,184
4 seasons,,NYK,NBA,,233,7499,,27%,55%,17%,1%,-2.2,+0.3,113,85,420,65,263,26,1039,70,119
1 season,,PHI,NBA,,36,951,,,9%,88%,3%,+7.9,+6.5,23,6,42,5,7,5,168,2,6
1 season,,BRK,NBA,,35,734,,1%,21%,75%,3%,-7.0,-8.2,11,7,46,5,9,1,99,2,4
1 season,,LAC,NBA,,15,226,,,51%,48%,1%,-10.1,-11.8,4,0,11,2,3,0,24,1,1
