Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jordan Hamilton,,1.6,0.8,0.3,0.2,0.1
Mike Flynn,83.4,1.7,0.8,0.3,NA,NA
John Jenkins,76.3,1.7,0.9,0.2,0,-0.1
Terence Stansbury,75.9,1.5,0.6,0.3,NA,NA
Sean Kilpatrick,75.6,1.4,1,0.1,0.1,NA
Jimmer Fredette,74.5,1.1,0.8,0.3,0.2,0
Bubbles Hawkins,74.0,1.9,0.6,0.3,0.1,NA
Steve Alford,73.6,1.4,0.9,0.6,0.3,NA
Mike Evans,73.6,1.6,0.9,0.1,-0.1,-0.2
Ronnie Price,73.6,1.1,0.9,0.4,0.1,0.1
Lloyd Daniels,72.9,1.8,1.1,0.2,0.1,0
