Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jordan Hamilton,,1.6,0.8,0.3,0.2,0.1,NA
Mike Flynn,83.4,1.7,0.8,0.3,NA,NA,NA
John Jenkins,82.0,1.7,0.9,0.2,0.2,0,-0.1
Terence Stansbury,75.9,1.5,0.6,0.3,NA,NA,NA
Sean Kilpatrick,75.6,1.4,1,0.1,0.1,NA,NA
Bubbles Hawkins,74.0,1.9,0.6,0.3,0.1,NA,NA
Steve Alford,73.6,1.4,0.9,0.6,0.3,NA,NA
Lloyd Daniels,72.9,1.8,1.1,0.2,0.1,0,NA
Salim Stoudamire,71.7,1.2,0.8,0.3,NA,NA,NA
Nik Stauskas,70.8,1.4,1.1,0.5,0.5,0.3,NA
MarShon Brooks,70.7,1.3,0.8,0.7,0.4,0.1,NA
