Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Sidney Green,,3.4,2.7,2.5,2,1.9,1.9,1.7,0.6,0.4,0.3,NA
Matt Bullard,91.5,3.4,2.6,2.5,2.4,1.8,1.7,1,0.6,0.5,0.2,0.1
Michael Curry,88.6,3.2,2.9,2.3,2,2,1.7,1.7,1.6,0.3,0.3,-0.2
Omri Casspi,86.2,3.6,2.7,2.5,2.5,2.4,2.2,1.3,1.2,0.7,0.5,NA
Andrew DeClercq,85.3,3.4,3.1,2.9,2.6,2.5,1.7,1.6,1,0.4,0.1,NA
Greg Anderson,85.1,3.4,3.4,3,2.3,2.2,2,1.5,0.7,0.4,-0.3,NA
Kevin Restani,84.8,3.5,2.6,2.2,2.1,2,1.8,0.5,0,NA,NA,NA
Barry Clemens,84.7,3.5,3.5,2.8,1.8,1.7,1.6,1.6,1.1,0.9,0.1,0.1
Brad Lohaus,83.8,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1
Corie Blount,83.6,3.1,2.6,2.5,1.9,1.8,1.7,1.2,1.1,0.9,0.8,0.7
Mike Sanders,82.1,3.9,3.1,2.7,2,1.8,1.2,1,0.8,0.8,0.6,0.1
