,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2012-13,24,TOT,NBA,PF,13,58,,,30%,67%,3%,-20.9,-25.3,1,1,5,2,1,0,8,0,2
2012-13,24,BOS,NBA,PF,5,18,,,36%,58%,6%,-5.7,-5.3,1,0,1,0,1,0,2,0,1
2012-13,24,MIA,NBA,PF,8,40,,,27%,71%,2%,-27.2,-36.6,0,1,4,2,0,0,6,0,1
2013-14,25,TOT,NBA,PF,24,339,,,1%,36%,63%,-13.0,-8.8,4,2,42,4,24,1,34,4,2
2013-14,25,CHI,NBA,PF,1,2,,,100%,,,-66.7,-68.8,0,0,0,0,0,0,0,0,0
2013-14,25,PHI,NBA,PF,23,337,,,,36%,64%,-12.7,-2.2,4,2,42,4,24,1,34,4,2
Career,,,NBA,,37,397,,,5%,41%,54%,-14.2,-11.2,5,3,47,6,25,1,42,4,4
,,,,,,,,,,,,,,,,,,,,,,
1 season,,PHI,NBA,,23,337,,,,36%,64%,-12.7,-2.2,4,2,42,4,24,1,34,4,2
1 season,,MIA,NBA,,8,40,,,27%,71%,2%,-27.2,-36.6,0,1,4,2,0,0,6,0,1
1 season,,BOS,NBA,,5,18,,,36%,58%,6%,-5.7,-5.3,1,0,1,0,1,0,2,0,1
1 season,,CHI,NBA,,1,2,,,100%,,,-66.7,-68.8,0,0,0,0,0,0,0,0,0
