Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Sean May,,2.2,0.4,0.3,-0.3,NA,NA
Gerard King,82.3,2.3,0.5,0.2,NA,NA,NA
Larry Spriggs,74.5,2.6,0.5,0.3,0.1,0,NA
Alan Williams,73.7,2.1,0.2,0.2,0,NA,NA
J.J. Anderson,73.5,2.3,0.2,0.1,NA,NA,NA
Linton Johnson,73.2,1.9,0.4,0.4,0,0,0
Ryan Kelly,71.5,2.2,0.7,0.1,0.1,NA,NA
Earl Clark,68.2,2.3,0.3,0.3,0.3,-0.1,-0.3
Bernard Thompson,68.1,2.1,0.9,0.2,0.1,0,NA
Joe Roberts,67.8,1.9,0.2,0.2,0,NA,NA
Kornél Dávid,66.2,1.7,0.4,0.3,NA,NA,NA
