Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Sean May,,2.2,0.4,0.3,-0.3
Earl Clark,94.1,2.3,0.3,0.3,-0.3
Bud Olsen,85.2,2.5,0.4,0.2,-0.3
Gerard King,82.3,2.3,0.5,0.2,NA
Linton Johnson,76.6,1.9,0.4,0.4,0
Alan Williams,73.7,2.1,0.2,0.2,0
J.J. Anderson,73.5,2.3,0.2,0.1,NA
Tellis Frank,72.4,2,0.6,0.3,0.1
Neil Johnson,72.2,2.2,0.2,-0.2,-0.3
Ryan Kelly,71.5,2.2,0.7,0.1,0.1
Kevin Séraphin,70.6,2.3,0.8,0.2,0.1
