Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Vern Hatton,,0.5,0.3,-0.5,NA
Sergey Karasev,5.4,0.7,0.3,-0.1,NA
Jack Garfinkel,-4.6,1.1,0.3,-0.5,NA
Raymond Townsend,-7.2,0.8,0.4,-0.2,NA
Glenn Hansen,-9.6,0.8,0.4,-0.1,NA
Markel Brown,-13.0,0.6,0.5,0,NA
Anthony Jones,-13.3,0.5,0.3,0,NA
Andre McCarter,-15.7,0.8,0.3,0,NA
James White,-18.3,0.5,0.3,0,NA
Greg Sutton,-19.5,0.8,0.2,-0.1,NA
K.J. McDaniels,-24.7,0.6,0.5,0.2,NA
