Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1958-59,23,TOT,NBA,PG,64,NA,1109,149,418,0.356,77,105,0.733,178,70,111,375
1958-59,23,CIN,NBA,,22,NA,657,66,207,0.319,34,51,0.667,81,30,55,166
1958-59,23,PHW,NBA,PG,42,NA,452,83,211,0.393,43,54,0.796,97,40,56,209
1959-60,24,PHW,NBA,SG,67,NA,1049,127,356,0.357,53,87,0.609,159,82,61,307
1960-61,25,PHW,NBA,SG,54,NA,610,97,304,0.319,46,56,0.821,92,59,59,240
1961-62,26,TOT,NBA,SG,40,NA,898,112,331,0.338,98,125,0.784,102,99,63,322
1961-62,26,CHP,NBA,SG,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-62,26,STL,NBA,SG,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Career,NA,,NBA,,225,NA,3666,485,1409,0.344,274,373,0.735,531,310,294,1244
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,PHW,NBA,,163,NA,2111,307,871,0.352,142,197,0.721,348,181,176,756
1 season,NA,STL,NBA,,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CIN,NBA,,22,NA,657,66,207,0.319,34,51,0.667,81,30,55,166
1 season,NA,CHP,NBA,,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
