Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Cory Joseph,,4.5,3.5,3.5,3.4,3.1,2.9,0.9,0
Carlos Delfino,90.5,4.8,4,3.5,3.5,2.9,2.4,1,0.5
John Williamson,88.8,5.1,4.2,3.9,3.4,3.3,2.8,1.3,-0.3
C.J. Watson,87.4,4,3.8,3.3,3.2,3.1,2.6,2.1,0.4
Henry Bibby,86.4,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1
Johnny Egan,86.4,5.1,3.6,3.2,3.1,3.1,1.4,1.3,0
Darrell Griffith,85.5,3.9,3.5,3.5,2.8,2.5,2.1,0.8,0.4
Maurice Evans,85.3,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.1
O.J. Mayo,83.8,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1
Herm Gilliam,83.7,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4
Allen Leavell,82.8,4.8,4.3,4,3.8,3,2.4,1.9,0.6
