Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Cory Joseph,,4.5,3.5,3.5,3.4,3.1,2.9,0.9,0,NA,NA,NA
Carlos Delfino,90.5,4.8,4,3.5,3.5,2.9,2.4,1,0.5,NA,NA,NA
John Williamson,88.8,5.1,4.2,3.9,3.4,3.3,2.8,1.3,-0.3,NA,NA,NA
Maurice Evans,84.3,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,NA,NA
O.J. Mayo,83.8,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1,NA,NA,NA
Herm Gilliam,83.7,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,NA,NA,NA
Henry Bibby,83.6,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1,1,NA,NA
C.J. Watson,83.1,4,3.8,3.3,3.2,3.1,2.6,2.1,0.9,0.6,0.4,NA
Johnny Egan,81.8,5.1,3.6,3.2,3.1,3.1,2,1.4,1.3,0.5,0.5,0
Marcus Thornton,81.8,4,3.8,3.5,3.2,2,1.7,1.2,0.5,NA,NA,NA
Art Williams,81.6,4.4,3.4,3.1,2.8,2.7,1.2,0.1,0,NA,NA,NA
