Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
George Senesky,,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3
Jeremy Lin,91.9,5.4,4.4,3.5,2.7,2.7,2.1,0.5,0
Steve Blake,90.7,5.8,3.8,3.3,2.8,2.1,1.8,0.7,0.3
Lionel Hollins,89.3,5.2,4,3.4,2.9,2.3,1.8,0.6,0.1
Jerry Sichting,89.0,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3
Chris Childs,88.2,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1
Lester Conner,87.9,6.2,5.9,3.7,2.8,2.7,2.1,0.7,0.5
Johnny Dawkins,87.6,6.4,4.3,3.6,2,1.7,1.1,1,0.6
Darwin Cook,87.1,6,3.9,3.6,3,2.7,1.6,1.2,0.9
Vincent Askew,86.9,6,4.6,4.3,2.9,2.7,1.5,0.2,-0.2
Martell Webster,86.9,6.3,4.4,3.5,1.8,1.5,1.3,0.9,0
