Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1946-47,24,PHW,BAA,PG,58,NA,NA,0.313,0.234,NA,NA,NA,NA,NA,0.7,1.6,2.3,NA
1947-48,25,PHW,BAA,PG,47,NA,NA,0.326,0.258,NA,NA,NA,NA,NA,1,2.6,3.6,NA
1948-49,26,PHW,BAA,PG,60,NA,NA,0.332,0.295,NA,NA,NA,NA,NA,-0.4,2.4,2,NA
1949-50,27,PHW,NBA,PG,68,NA,NA,0.379,0.315,NA,NA,NA,NA,NA,0.7,3.7,4.4,NA
1950-51,28,PHW,NBA,PG,65,NA,NA,0.42,0.339,NA,NA,NA,NA,NA,2.3,3.9,6.2,NA
1951-52,29,PHW,NBA,PG,57,1925,13.3,0.439,0.427,NA,NA,NA,NA,NA,1.9,0.7,2.6,0.066
1952-53,30,PHW,NBA,PG,69,2336,9,0.376,0.301,NA,NA,NA,NA,NA,-0.9,1.2,0.3,0.006
1953-54,31,PHW,NBA,PG,58,771,7.3,0.39,0.445,NA,NA,NA,NA,NA,0,0.5,0.5,0.032
Career,NA,,TOT,,482,5032,10.4,0.372,0.312,NA,NA,NA,NA,NA,5.3,16.6,21.8,0.033
,NA,,NBA,,317,5032,10.4,0.402,0.346,NA,NA,NA,NA,NA,4,10.1,14,0.033
,NA,,BAA,,165,NA,NA,0.324,0.262,NA,NA,NA,NA,NA,1.3,6.5,7.8,NA
