Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Ed Fleming,,5,2,1.2,1,0.8
Johnny Neumann,88.2,4.6,2,1.6,0.8,0.6
Tony Delk,84.7,4.6,1.6,1.3,0.8,0.4
Avery Johnson,84.3,5.2,1.6,1.3,0.5,0.3
Keith Bogans,82.2,4.9,2.3,1.7,1.3,0.1
Gene Vance,81.6,5.3,2.2,1.6,1.3,0
Lucious Harris,81.2,4.1,2.1,1.1,0.6,0.4
Carlos Arroyo,79.7,4.7,2.7,1.3,0.4,0.3
Ernie Beck,78.9,4.3,2.1,1.1,0.9,-0.4
Matt Maloney,78.6,5.3,2.2,1.5,0.7,-0.3
Brandon Knight,77.5,4.5,2.8,1.7,1.3,1.1
