Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,22,MNP,ABA,NA,2,15,5.9,0.436,0,0.333,NA,NA,8.9,0,12.7,18.6,NA,0,0,0,0.019
Career,NA,,ABA,NA,2,15,5.9,0.436,0,0.333,NA,NA,8.9,0,12.7,18.6,NA,0,0,0,0.019
