Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Bucky Bockhorn,,3.1,1.5,1.3,1.1,0.5,0.3,0.1,NA,NA
Quinton Ross,82.1,3.2,1.7,1.6,0.7,0.6,0,-0.1,NA,NA
Jon Sundvold,81.5,3,1.5,1.2,1,1,0.8,0.2,0.2,0
Al Ferrari,81.0,3.3,1.9,1.4,1.4,0.9,0,NA,NA,NA
Ronald Murray,80.3,3.1,1.8,1.7,1.3,0.7,0.4,-0.3,-0.3,NA
Mike Barr,79.4,2.7,1.7,1.4,0.7,0.4,NA,NA,NA,NA
Greg Minor,78.1,3,2.1,1.7,0.8,0.6,NA,NA,NA,NA
Tyus Edney,77.6,3.3,1.5,1.4,0.5,NA,NA,NA,NA,NA
Mike Evans,77.6,2.9,1.9,1.6,1.1,1.1,0.9,0.1,-0.1,-0.2
Shammond Williams,77.3,3.1,2.9,1.2,1,0.5,0.2,0,NA,NA
Rick Adelman,77.0,3.4,2.2,1.6,1.3,0.7,0.7,0.1,NA,NA
