Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Bucky Bockhorn,,3.1,1.5,1.3,1.1,0.5,0.3,0.1
Jon Sundvold,83.0,3,1.5,1.2,1,1,0.8,0.2
Quinton Ross,82.1,3.2,1.7,1.6,0.7,0.6,0,-0.1
Al Ferrari,81.0,3.3,1.9,1.4,1.4,0.9,0,NA
Wayne Ellington,79.6,3.2,1.2,0.8,0.8,0.7,0.4,0.3
Ronald Murray,79.6,3.1,1.7,1.3,0.7,0.4,-0.3,-0.3
Keyon Dooling,79.5,2.1,1.5,1.4,1.1,0.3,0.3,0
Mike Barr,79.4,2.7,1.7,1.4,0.7,0.4,NA,NA
Mike Evans,78.1,2.9,1.6,1.1,0.9,0.1,-0.1,-0.2
Greg Minor,78.1,3,2.1,1.7,0.8,0.6,NA,NA
Tyus Edney,77.6,3.3,1.5,1.4,0.5,NA,NA,NA
