Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Cal Christensen,,3.2,2.9,1.7,0.4,0
Tyrone Nesby,92.2,3.1,2.9,1.3,0.3,NA
Duane Ferrell,91.2,3.5,2.8,1.9,0.4,-0.1
Andray Blatche,90.2,3.4,3,1.4,0.5,0.1
Jumaine Jones,89.6,3.3,2.9,2.3,0.1,0
Solomon Hill,88.1,3.5,2.7,2.1,0.4,-0.1
Ira Newble,87.3,3.3,2.3,1.9,0.2,0.1
Scott Padgett,87.1,3.5,2.5,1.9,0.4,0.1
Jahidi White,86.7,3.3,3.2,2.1,0.6,0.2
Eric Williams,86.3,2.9,2.5,1.6,0.2,0.1
Mike Jackson,86.2,3.4,3.1,2.4,0.2,NA
