,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1958-59,24,MNL,NBA,,15,33,14,14,,,5,36
1959-60,25,MNL,NBA,,17,,18,23,,,5,40
1960-61,26,LAL,NBA,,18,,15,20,,,6,49
1961-62,27,LAL,NBA,,22,,17,21,23,,6,61
1962-63,28,LAL,NBA,,16,34,13,17,23,,5,43
1963-64,29,LAL,NBA,,12,34,9,11,16,11,4,30
1964-65,30,LAL,NBA,,0,2,0,0,0,1,0,0
1965-66,31,LAL,NBA,,17,31,15,17,20,9,5,42
1966-67,32,LAL,NBA,,16,33,6,7,18,4,3,37
1967-68,33,LAL,NBA,,16,,9,13,23,,,37
1968-69,34,LAL,NBA,,14,22,10,12,16,12,5,32
1969-70,35,LAL,NBA,,14,24,14,18,20,11,6,32
Career,,,,,22,,18,23,,,,61
