Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Elgin Baylor,,14.8,14.4,11.5,9.8,8.5,8,7.9,7.8,7.2,6.2,4.9,2.6,0.5,0,NA,NA,NA,NA
Elton Brand,91.1,14.8,13.6,11.5,10.6,9.7,9.4,7.6,7.5,6.1,6.1,3.6,3.5,3.4,0.9,0.7,0.5,0.2,NA
Kevin McHale,85.7,14.8,11.1,11,11,10.5,10.2,10.1,7.9,7.5,7.5,4.7,4,2.8,NA,NA,NA,NA,NA
Bobby Jones,85.6,11,10.2,10.2,9.2,8.9,8.2,8.1,7.7,6.4,6,4.8,3.2,NA,NA,NA,NA,NA,NA
Amar'e Stoudemire,85.5,14.6,14.6,11.2,10.7,8,6.2,6.1,4.4,4.1,3.8,3.6,2.7,2.4,0.1,NA,NA,NA,NA
Jerry Lucas,85.4,12.7,11.2,10.5,10.1,9.9,9.5,8.1,7.9,7.8,7.3,3.4,NA,NA,NA,NA,NA,NA,NA
Detlef Schrempf,84.9,12.9,10.4,10.4,9.8,9,8.4,8.2,8.1,8,5.8,5.2,4.4,4,3.6,0.8,0.5,NA,NA
Bailey Howell,84.1,14,11.8,11.7,11.3,10.9,10.7,10.1,9.8,8.7,7.6,5,3.1,NA,NA,NA,NA,NA,NA
Anthony Mason,83.4,11.6,11.4,11.3,9.3,8.9,8.6,7.4,6.4,5.6,4.9,3.1,0.1,-0.1,NA,NA,NA,NA,NA
Grant Hill,83.0,14.6,11.7,10.7,10.2,7.3,6.6,5.9,5.5,5.4,5.3,5.1,4.4,2.5,1.7,1.6,1.2,0.3,-0.1
Horace Grant,82.9,14.1,10.3,10,9.5,9.1,8,8,7.7,7.1,6.5,6.4,5.6,5.2,4.2,4.1,2,0.2,NA
