,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1958-59,24,MNL,NBA,,22,,16,21,,,6,55
1959-60,25,MNL,NBA,,25,,18,23,,,6,64
1960-61,26,LAL,NBA,,28,,18,21,30,,6,71
1961-62,27,LAL,NBA,,23,,18,24,,,,63
1962-63,28,LAL,NBA,,21,,20,,,,,52
1963-64,29,LAL,NBA,,17,,11,18,,,,40
1964-65,30,LAL,NBA,,18,,16,24,,,,47
1965-66,31,LAL,NBA,,16,,14,16,,,,46
1966-67,32,LAL,NBA,,18,,13,16,,,,46
1967-68,33,LAL,NBA,,18,,17,19,,,,42
1968-69,34,LAL,NBA,,15,,12,15,,,,40
1969-70,35,LAL,NBA,,19,,13,17,,,,43
1970-71,36,LAL,NBA,,5,10,3,5,6,1,3,11
1971-72,37,LAL,NBA,,8,,7,8,,,,19
Career,,,,,28,,20,,,,,71
