Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1958-59,24,MNL,NBA,SF,13,556,19.3,0.469,0.373,NA,NA,NA,12.9,NA,0.8,0.4,1.2,0.104
1959-60,25,MNL,NBA,SF,9,408,26.2,0.547,0.402,NA,NA,NA,14.2,NA,2,0.2,2.2,0.265
1960-61,26,LAL,NBA,SF,12,540,28,0.538,0.392,NA,NA,NA,17.2,NA,2.5,0.3,2.8,0.248
1961-62,27,LAL,NBA,SF,13,571,27.4,0.503,0.395,NA,NA,NA,15,NA,1.8,0.3,2.1,0.179
1962-63,28,LAL,NBA,SF,13,562,25.1,0.508,0.348,NA,NA,NA,18,NA,1.2,0.5,1.7,0.146
1963-64,29,LAL,NBA,SF,5,221,18.4,0.443,0.336,NA,NA,NA,23,NA,0.1,-0.2,-0.1,-0.029
1964-65,30,LAL,NBA,SF,1,5,-6.2,0,0,NA,NA,NA,22.9,NA,0,0,0,-0.451
1965-66,31,LAL,NBA,SF,14,586,21,0.501,0.32,NA,NA,NA,12.9,NA,0.8,0.5,1.3,0.107
1966-67,32,LAL,NBA,SF,3,121,16.2,0.419,0.263,NA,NA,NA,11.4,NA,-0.1,0,-0.1,-0.035
1967-68,33,LAL,NBA,SF,15,633,23,0.503,0.298,NA,NA,NA,14.8,NA,1.1,0.8,1.9,0.142
1968-69,34,LAL,NBA,SF,18,640,14.9,0.43,0.36,NA,NA,NA,17.6,NA,-0.2,1.1,0.9,0.067
1969-70,35,LAL,NBA,SF,18,667,17.4,0.507,0.274,NA,NA,NA,17.5,NA,0.9,0.6,1.5,0.107
Career,NA,,NBA,,134,5510,21.8,0.497,0.348,NA,NA,NA,15.9,NA,10.7,4.6,15.4,0.134
