Season,Team,Lg,Salary
1999-00,Washington Wizards,NBA,"$1,836,240"
2000-01,Washington Wizards,NBA,"$1,973,880"
2001-02,Washington Wizards,NBA,"$2,111,640"
2002-03,Detroit Pistons,NBA,"$2,681,783"
2003-04,Detroit Pistons,NBA,"$6,500,000"
2004-05,Detroit Pistons,NBA,"$7,812,500"
2005-06,Detroit Pistons,NBA,"$8,625,000"
2006-07,Detroit Pistons,NBA,"$9,187,500"
2007-08,Detroit Pistons,NBA,"$10,000,000"
2008-09,Detroit Pistons,NBA,"$10,812,500"
2009-10,Detroit Pistons,NBA,"$11,625,000"
2010-11,Detroit Pistons,NBA,"$12,500,000"
2011-12,Detroit Pistons,NBA,"$12,500,000"
2011-12,Chicago Bulls,NBA,"$5,000,000"
2012-13,Chicago Bulls,NBA,"$5,000,000"
2013-14,Chicago Bulls,NBA,"$1,000,000"
2014-15,Chicago Bulls,NBA,"$333,333"
Career,(may be incomplete),,"$109,499,376"
