Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Richard Hamilton,,8.1,8.1,7.7,7.6,7.4,7.3,4.5,4,2.4,1.8,1.4,1.3,0.7,0.4
Ricky Pierce,89.6,9.4,8.3,7.9,7.8,7.7,6.7,5.8,4,3.1,3,2.2,1.8,1.5,-0.1
Dick Barnett,86.6,8,8,7.8,7.7,6.8,6.5,5.8,5.5,4.7,3.4,2.6,2.2,0,-0.2
Jo Jo White,85.3,8,7.4,7.3,6.7,6.5,6.1,5.4,2,1.7,1.5,1.1,0.1,NA,NA
Kenny Anderson,84.8,12.4,7.7,7.5,7.3,6.8,5.2,4.4,3.7,2.4,1.6,1.5,1.1,0.5,0.2
Baron Davis,84.7,8.9,8.7,8.2,7.5,6.4,4.5,4.5,4.4,4.4,2.8,2.1,0.6,0.2,NA
Carl Braun,84.5,9,8.6,7.6,7.2,6.2,5.3,4.7,4.5,3.7,3.6,3,0.5,0.4,NA
Freddie Lewis,84.3,7.6,7.5,7.3,7.2,6.2,6,5.2,3.2,3,0.5,0,NA,NA,NA
Ron Boone,84.2,9.7,8.3,8.1,6.2,5.9,5.8,5.1,4,2.8,2.6,1,0.4,-0.6,NA
Larry Costello,84.2,9.2,8.6,8.5,8,5.9,5.7,5.7,3.5,3.4,2.5,1.5,0.2,NA,NA
Dick Snyder,83.7,10,8,6.4,6.2,6.2,6,4.1,3.7,3.4,1.8,0.9,0.9,0.6,NA
