Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Ronny Turiaf,,4.2,3.6,3.2,3.1,1.5,1.4,1.1,0.8,0.4,0,NA,NA
Kenny Gattison,86.4,4.5,3.5,3.2,3,1.5,0.7,0.5,0.1,0,NA,NA,NA
Charlie Villanueva,85.2,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1,NA
Craig Smith,85.1,3.9,3.5,3.1,3,1.5,1,NA,NA,NA,NA,NA,NA
Andrea Bargnani,85.0,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,NA,NA
Stromile Swift,83.9,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1,NA,NA,NA
Terry Catledge,83.7,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,NA,NA,NA,NA
Kwame Brown,83.3,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.4,0.1,-0.1
Pat Cummings,83.3,4.2,4,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1
Donald Royal,83.1,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA,NA,NA,NA
Francisco García,82.4,4.2,3,2.4,2.4,1.8,1.6,1.3,1,0.8,-0.2,NA,NA
